stage,map_name,hero,Time Played,Most Played
Playoffs,Busan,Sigma,19451.482985499995,1.0
Playoffs,Busan,Orisa,19063.0839228,2.0
Playoffs,Busan,Moira,18701.123722100005,3.0
Playoffs,Busan,Doomfist,18527.8589002,4.0
Playoffs,Busan,Lúcio,17836.812785225004,5.0
Playoffs,Busan,Reaper,17254.7971665,6.0
Playoffs,Busan,Mercy,1195.1297060000002,7.0
Playoffs,Busan,Baptiste,746.56813089,8.0
Playoffs,Busan,Ana,732.8648044,9.0
Playoffs,Busan,McCree,721.1290186000001,10.0
Playoffs,Busan,Wrecking Ball,671.657121868,11.0
Playoffs,Busan,Mei,647.1832954,12.0
Playoffs,Busan,Symmetra,524.672546822,13.0
Playoffs,Busan,Widowmaker,514.8586779,14.0
Playoffs,Busan,Bastion,356.27181451,15.0
Playoffs,Busan,Pharah,302.67918510000004,16.0
Playoffs,Busan,Sombra,244.29982719999998,17.0
Playoffs,Busan,Tracer,118.74871641499999,18.0
Playoffs,Busan,Reinhardt,25.303261284999998,19.0
Playoffs,Busan,Roadhog,0.9718571309999999,20.0
Playoffs,Dorado,Sigma,9424.218144299999,1.0
Playoffs,Dorado,Orisa,9001.7647108,2.0
Playoffs,Dorado,Doomfist,5065.17766261,3.0
Playoffs,Dorado,Mercy,4896.9140683000005,4.0
Playoffs,Dorado,Pharah,4657.512126100001,5.0
Playoffs,Dorado,Moira,4423.00911552,6.0
Playoffs,Dorado,Ana,4419.9859064,7.0
Playoffs,Dorado,Lúcio,4090.0804329800003,8.0
Playoffs,Dorado,Reaper,3820.453278658,9.0
Playoffs,Dorado,McCree,2117.9590071000002,10.0
Playoffs,Dorado,Mei,2098.8427537300004,11.0
Playoffs,Dorado,Baptiste,1999.49412055,12.0
Playoffs,Dorado,Bastion,1960.5628335,13.0
Playoffs,Dorado,Winston,721.2214234520001,14.0
Playoffs,Dorado,D.Va,389.31078071999997,15.0
Playoffs,Dorado,Wrecking Ball,292.968584221,16.0
Playoffs,Dorado,Hanzo,86.592528697,17.0
Playoffs,Dorado,Widowmaker,12.646869957,18.0
Playoffs,Dorado,Genji,4.86859405,19.0
Playoffs,Dorado,Tracer,4.867989004,20.0
Playoffs,Eichenwalde,Orisa,10413.858696399997,1.0
Playoffs,Eichenwalde,Sigma,10319.4334304,2.0
Playoffs,Eichenwalde,Lúcio,9204.065338011002,3.0
Playoffs,Eichenwalde,Reaper,8798.2397299,4.0
Playoffs,Eichenwalde,Doomfist,8789.45435067,5.0
Playoffs,Eichenwalde,Moira,8365.054417185,6.0
Playoffs,Eichenwalde,Ana,2573.390345501,7.0
Playoffs,Eichenwalde,Mei,1596.2084605,8.0
Playoffs,Eichenwalde,Mercy,1044.2649691870001,9.0
Playoffs,Eichenwalde,Baptiste,1013.1797363960001,10.0
Playoffs,Eichenwalde,Pharah,1006.29472085,11.0
Playoffs,Eichenwalde,Bastion,925.5985360000001,12.0
Playoffs,Eichenwalde,Sombra,792.19849335,13.0
Playoffs,Eichenwalde,Wrecking Ball,733.8139182220001,14.0
Playoffs,Eichenwalde,D.Va,581.962195091,15.0
Playoffs,Eichenwalde,McCree,169.334608,16.0
Playoffs,Eichenwalde,Winston,150.886567165,17.0
Playoffs,Eichenwalde,Junkrat,72.97203898,18.0
Playoffs,Eichenwalde,Widowmaker,36.018952844,19.0
Playoffs,Eichenwalde,Symmetra,8.767749786,20.0
Playoffs,Eichenwalde,Genji,2.919539332,21.0
Playoffs,Eichenwalde,Hanzo,1.947625995,22.0
Playoffs,Hanamura,Ana,2112.8977623,1.0
Playoffs,Hanamura,Orisa,1661.2802233,2.0
Playoffs,Hanamura,Sigma,1609.7042228,3.0
Playoffs,Hanamura,Doomfist,1375.2148091000001,4.0
Playoffs,Hanamura,Baptiste,962.492270194,5.0
Playoffs,Hanamura,Lúcio,880.8277762299999,6.0
Playoffs,Hanamura,Winston,864.2096828000001,7.0
Playoffs,Hanamura,D.Va,851.5833359959998,8.0
Playoffs,Hanamura,Mercy,788.2756951000001,9.0
Playoffs,Hanamura,Pharah,784.3801004000001,10.0
Playoffs,Hanamura,Moira,518.6979793,11.0
Playoffs,Hanamura,Tracer,510.96271005,12.0
Playoffs,Hanamura,Mei,488.54913481,13.0
Playoffs,Hanamura,Symmetra,454.4515252,14.0
Playoffs,Hanamura,Bastion,452.53224869999997,15.0
Playoffs,Hanamura,Ashe,443.78758719999996,16.0
Playoffs,Hanamura,Reaper,386.413594107,17.0
Playoffs,Hanamura,Wrecking Ball,216.04696371999998,18.0
Playoffs,Hanamura,McCree,186.8258609,19.0
Playoffs,Hanamura,Junkrat,102.1818045,20.0
Playoffs,Hanamura,Reinhardt,60.367054279,21.0
Playoffs,Hanamura,Widowmaker,49.6501109,22.0
Playoffs,Hanamura,Sombra,22.39344573,23.0
Playoffs,Hanamura,Hanzo,5.848551333,24.0
Playoffs,Horizon Lunar Colony,Sigma,8155.630384000001,1.0
Playoffs,Horizon Lunar Colony,Orisa,8046.5265815,2.0
Playoffs,Horizon Lunar Colony,Moira,6090.3006136,3.0
Playoffs,Horizon Lunar Colony,Lúcio,5799.172634483999,4.0
Playoffs,Horizon Lunar Colony,Doomfist,5369.05044422,5.0
Playoffs,Horizon Lunar Colony,Reaper,5345.523756899999,6.0
Playoffs,Horizon Lunar Colony,Ana,2565.708742552,7.0
Playoffs,Horizon Lunar Colony,Baptiste,2439.2337613010004,8.0
Playoffs,Horizon Lunar Colony,Mei,1507.6536751000003,9.0
Playoffs,Horizon Lunar Colony,Bastion,1371.3794905999998,10.0
Playoffs,Horizon Lunar Colony,Wrecking Ball,935.524997718,11.0
Playoffs,Horizon Lunar Colony,Sombra,929.5376393219999,12.0
Playoffs,Horizon Lunar Colony,Symmetra,767.09063604,13.0
Playoffs,Horizon Lunar Colony,Mercy,662.8782748599999,14.0
Playoffs,Horizon Lunar Colony,Tracer,642.4842710599999,15.0
Playoffs,Horizon Lunar Colony,Junkrat,586.0353367660001,16.0
Playoffs,Horizon Lunar Colony,D.Va,447.82037189100004,17.0
Playoffs,Horizon Lunar Colony,Genji,286.1384871,18.0
Playoffs,Horizon Lunar Colony,Hanzo,245.24937979999999,19.0
Playoffs,Horizon Lunar Colony,Ashe,233.60273296,20.0
Playoffs,Horizon Lunar Colony,Zenyatta,188.8027962,21.0
Playoffs,Horizon Lunar Colony,Pharah,172.26790060000002,22.0
Playoffs,Horizon Lunar Colony,Widowmaker,158.6763186,23.0
Playoffs,Horizon Lunar Colony,Soldier: 76,73.95576917700001,24.0
Playoffs,Horizon Lunar Colony,Reinhardt,71.04992395,25.0
Playoffs,Horizon Lunar Colony,McCree,57.45098353,26.0
Playoffs,Horizon Lunar Colony,Zarya,51.596916022,27.0
Playoffs,Horizon Lunar Colony,Winston,37.947647695,28.0
Playoffs,Ilios,Orisa,3865.0603001,1.0
